lead_sponsor_name,gvkey,start_year,end_year,note,sponsor_norm
Immune Targeting Systems Ltd,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 25013 (PLC SYSTEMS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,immune targeting systems ltd
"Imbria Pharmaceuticals, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 28470 (RA PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,imbria pharmaceuticals inc
"Acessa Health, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 24948 (ACCESS HEALTH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,acessa health inc
Supira Medical,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 22038 (SUPRA MEDICAL CORP) flagged unreliable; no manual rescue available -- left UNMAPPED,supira medical
SynCardia Systems. LLC,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 25013 (PLC SYSTEMS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,syncardia systems llc
"Corthera, Inc.(formerly BAS Medical, Inc.), a member of the Novartis group of companies",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 11151 (GROUP INC (THE)) flagged unreliable; no manual rescue available -- left UNMAPPED,corthera inc formerly bas medical inc a member of the novartis group of companies
LDR Spine USA,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 18625 (LDR HOLDING CORP) flagged unreliable; no manual rescue available -- left UNMAPPED,ldr spine usa
Uniquity One (UNI),UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 36851 (ONE) flagged unreliable; no manual rescue available -- left UNMAPPED,uniquity one uni
"Gala Therapeutics, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 35768 (GALERA THERAPEUTICS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,gala therapeutics inc
"GPCR Therapeutics, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 24220 (COR THERAPEUTICS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,gpcr therapeutics inc
Fusion Pharmaceuticals Inc.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 28470 (RA PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,fusion pharmaceuticals inc
Cell>Point LLC,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 108457 (CELLPOINT INC) flagged unreliable; no manual rescue available -- left UNMAPPED,cell point llc
Davita Clinical Research,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,davita clinical research
"Neurana Pharmaceuticals, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 28470 (RA PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,neurana pharmaceuticals inc
MCM Vaccines B.V.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 18826 (MCM CORP) flagged unreliable; no manual rescue available -- left UNMAPPED,mcm vaccines b v
"Alkeus Pharmaceuticals, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 165857 (ALTUS PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,alkeus pharmaceuticals inc
Richmond Research Institute,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,richmond research institute
"SCM Lifescience Co., LTD.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9316 (SCM CORP) flagged unreliable; no manual rescue available -- left UNMAPPED,scm lifescience co ltd
"Menssana Research, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,menssana research inc
Bright Future Pharmaceuticals Factory O/B Bright Future Pharmaceutical Laboratories Limited,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 247881 (GW PHARMACEUTICALS LIMITED) flagged unreliable; no manual rescue available -- left UNMAPPED,bright future pharmaceuticals factory o b bright future pharmaceutical laboratories limited
"SamA Pharmaceutical Co., Ltd",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 27756 (SHAMAN PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,sama pharmaceutical co ltd
Paragonix Technologies,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9323 (PARAGON TECHNOLOGIES INC) flagged unreliable; no manual rescue available -- left UNMAPPED,paragonix technologies
"Santalis Pharmaceuticals, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 36301 (ZENTALIS PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,santalis pharmaceuticals inc
"CardioRenal Systems, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 25013 (PLC SYSTEMS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,cardiorenal systems inc
"NiKang Therapeutics, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 28209 (ANIKA THERAPEUTICS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,nikang therapeutics inc
Light Sciences LLC,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 39171 (SIGHT SCIENCES INC) flagged unreliable; no manual rescue available -- left UNMAPPED,light sciences llc
Adicet Therapeutics,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 39508 (DICE THERAPEUTICS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,adicet therapeutics
Olistic Research Labs S.L.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,olistic research labs s l
Tethis S.p.A.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 1059 (A P S INC) flagged unreliable; no manual rescue available -- left UNMAPPED,tethis s p a
Alpha - Bio Tec Ltd.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 10276 (TEC INC) flagged unreliable; no manual rescue available -- left UNMAPPED,alpha - bio tec ltd
"Novus Therapeutics, Inc",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 25377 (NEOS THERAPEUTICS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,novus therapeutics inc
"Aires Pharmaceuticals, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 37495 (ARS PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,aires pharmaceuticals inc
"Novalar Pharmaceuticals, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 28470 (RA PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,novalar pharmaceuticals inc
"Nuon Therapeutics, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 61673 (NUO THERAPEUTICS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,nuon therapeutics inc
Air Liquide SA,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 6757 (LIQUID AIR CORP) flagged unreliable; no manual rescue available -- left UNMAPPED,air liquide sa
Finch Research and Development LLC.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,finch research and development llc
"Reproductive Research Technologies, LP",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,reproductive research technologies lp
"Neuronetrix, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 160488 (NEUROMETRIX INC) flagged unreliable; no manual rescue available -- left UNMAPPED,neuronetrix inc
Evasc Medical Systems Corp.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 25013 (PLC SYSTEMS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,evasc medical systems corp
"Sigma-Tau Research, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,sigma-tau research inc
"Olix Pharmaceuticals, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 12180 (OSI PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,olix pharmaceuticals inc
The Searle Company Limited Pakistan,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 11151 (GROUP INC (THE)) flagged unreliable; no manual rescue available -- left UNMAPPED,the searle company limited pakistan
The Skin Center Dermatology Group,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 11151 (GROUP INC (THE)) flagged unreliable; no manual rescue available -- left UNMAPPED,the skin center dermatology group
Tcelltech Inc.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 201088 (CELLTECH GROUP PLC) flagged unreliable; no manual rescue available -- left UNMAPPED,tcelltech inc
Eleison Pharmaceuticals LLC.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 31301 (ELEDON PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,eleison pharmaceuticals llc
"The United Bio-Technology (Hengqin) Co., Ltd.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 11151 (GROUP INC (THE)) flagged unreliable; no manual rescue available -- left UNMAPPED,the united bio-technology hengqin co ltd
Ondine Research Laboratories,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,ondine research laboratories
"Promentis Pharmaceuticals, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 28470 (RA PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,promentis pharmaceuticals inc
Pope Research Corporation,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,pope research corporation
Distribuidora Biolife SA de CV,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 163863 (CV HOLDINGS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,distribuidora biolife sa de cv
Probiotical S.p.A.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 1059 (A P S INC) flagged unreliable; no manual rescue available -- left UNMAPPED,probiotical s p a
"Ausio Pharmaceuticals, LLC",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 63030 (CASI PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,ausio pharmaceuticals llc
Deka Research and Development,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,deka research and development
The SmartPill Corporation,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 11151 (GROUP INC (THE)) flagged unreliable; no manual rescue available -- left UNMAPPED,the smartpill corporation
Guna S.p.a,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 1059 (A P S INC) flagged unreliable; no manual rescue available -- left UNMAPPED,guna s p a
"Gentuity, LLC",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 137357 (GENUITY INC) flagged unreliable; no manual rescue available -- left UNMAPPED,gentuity llc
"Rowpar Pharmaceuticals, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 28470 (RA PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,rowpar pharmaceuticals inc
Siena Biotech S.p.A.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 1059 (A P S INC) flagged unreliable; no manual rescue available -- left UNMAPPED,siena biotech s p a
Anderson Clinical Research,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,anderson clinical research
Lipomedix Pharmaceuticals Inc.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 28470 (RA PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,lipomedix pharmaceuticals inc
Lupin Research Inc,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,lupin research inc
Marea Therapeutics,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 35648 (APREA THERAPEUTICS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,marea therapeutics
"Sirtsei Pharmaceuticals, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 28470 (RA PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,sirtsei pharmaceuticals inc
Adamis Pharmaceuticals Corporation,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 20042 (ADAMAS PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,adamis pharmaceuticals corporation
Melt Pharmaceuticals,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 106261 (ELITE PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,melt pharmaceuticals
Indena S.p.A,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 1059 (A P S INC) flagged unreliable; no manual rescue available -- left UNMAPPED,indena s p a
Spear Pharmaceuticals,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 30368 (SPARTA PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,spear pharmaceuticals
SpinChip Diagnostics ASA,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 1849 (ASA HOLDINGS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,spinchip diagnostics asa
InDex Pharmaceuticals,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 148169 (IDENIX PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,index pharmaceuticals
"Nacuity Pharmaceuticals, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 28470 (RA PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,nacuity pharmaceuticals inc
Gibson Institute of Cognitive Research,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,gibson institute of cognitive research
IMMUNOe Research Centers,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,immunoe research centers
Rion Inc.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 10741 (TRION INC) flagged unreliable; no manual rescue available -- left UNMAPPED,rion inc
Stochastic Research Technologies LLC,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,stochastic research technologies llc
"Rinovum Women's Health, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 10949 (U S HEALTH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,rinovum women s health inc
"Svelte Medical Systems, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 25013 (PLC SYSTEMS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,svelte medical systems inc
Rhythm Diagnostic Systems,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 25013 (PLC SYSTEMS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,rhythm diagnostic systems
"Navitor Pharmaceuticals, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 28470 (RA PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,navitor pharmaceuticals inc
SyneuRx International (Taiwan) Corp,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 5865 (IU INTERNATIONAL CORP) flagged unreliable; no manual rescue available -- left UNMAPPED,syneurx international taiwan corp
"Neuraltus Pharmaceuticals, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 28470 (RA PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,neuraltus pharmaceuticals inc
LAPIX Therapeutics Inc.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 29914 (LEAP THERAPEUTICS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,lapix therapeutics inc
GreenBone Ortho S.p.A.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 1059 (A P S INC) flagged unreliable; no manual rescue available -- left UNMAPPED,greenbone ortho s p a
"Glock Health, Science and Research GmbH",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,glock health science and research gmbh
"AnnJi Pharmaceutical Co., Ltd.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 18204 (ANI PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,annji pharmaceutical co ltd
INQUIS Clinical Research,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,inquis clinical research
Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 118444 (U S LABORATORIES INC) flagged unreliable; no manual rescue available -- left UNMAPPED,uni-pharma kleon tsetis pharmaceutical laboratories s a
"Vividion Therapeutics, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 30311 (VIRIDIAN THERAPEUTICS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,vividion therapeutics inc
"CellMed AG, a subsidiary of BTG plc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 31194 (BTG INC) flagged unreliable; no manual rescue available -- left UNMAPPED,cellmed ag a subsidiary of btg plc
CoapTech,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 2741 (CAPTECH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,coaptech
"Chakshu Research, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,chakshu research inc
"Biota Pharmaceuticals, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 181794 (BIOSTAR PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,biota pharmaceuticals inc
"Zai Lab (Hong Kong), Ltd.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 32334 (ZAI LAB LTD) flagged unreliable; no manual rescue available -- left UNMAPPED,zai lab hong kong ltd
Chemi S.p.A.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 1059 (A P S INC) flagged unreliable; no manual rescue available -- left UNMAPPED,chemi s p a
"Chembio Diagnostic Systems, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 25013 (PLC SYSTEMS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,chembio diagnostic systems inc
"Cognito Therapeutics, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 39290 (COGNITION THERAPEUTICS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,cognito therapeutics inc
Avera Pharmaceuticals,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 163121 (VALERA PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,avera pharmaceuticals
Cantex Pharmaceuticals,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 62382 (ASTEX PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,cantex pharmaceuticals
"Talaria, Inc",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 134764 (TALARIAN CORP) flagged unreliable; no manual rescue available -- left UNMAPPED,talaria inc
STI-Medical Systems,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 25013 (PLC SYSTEMS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,sti-medical systems
"Cancer Prevention Pharmaceuticals, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 28470 (RA PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,cancer prevention pharmaceuticals inc
Medistim ASA,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 1849 (ASA HOLDINGS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,medistim asa
"Tallikut Pharmaceuticals, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 28470 (RA PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,tallikut pharmaceuticals inc
Medical Developments International Limited,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 37612 (TH INTERNATIONAL LIMITED) flagged unreliable; no manual rescue available -- left UNMAPPED,medical developments international limited
"MicroPhage, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 13501 (MICROAGE INC) flagged unreliable; no manual rescue available -- left UNMAPPED,microphage inc
SOS Oxygene Mediterranee,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 37429 (SOS LIMITED) flagged unreliable; no manual rescue available -- left UNMAPPED,sos oxygene mediterranee
Median Technologies,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 179648 (MEDIAMIND TECHNOLOGIES INC) flagged unreliable; no manual rescue available -- left UNMAPPED,median technologies
"MingSight Pharmaceuticals, Inc",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 28470 (RA PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,mingsight pharmaceuticals inc
Minster Research Ltd,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,minster research ltd
Mycovia Pharmaceuticals Inc.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 28470 (RA PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,mycovia pharmaceuticals inc
"Amp Orthopedics, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 1608 (AMP INC) flagged unreliable; no manual rescue available -- left UNMAPPED,amp orthopedics inc
"S1 Biopharma, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 121053 (S1 CORP) flagged unreliable; no manual rescue available -- left UNMAPPED,s1 biopharma inc
Ganymed Pharmaceuticals GmbH,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 19771 (GALMED PHARMACEUTICALS LTD) flagged unreliable; no manual rescue available -- left UNMAPPED,ganymed pharmaceuticals gmbh
"Galmed Research and Development, Ltd.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,galmed research and development ltd
Rob Surgical Systems S.L.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 25013 (PLC SYSTEMS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,rob surgical systems s l
"Napo Pharmaceuticals, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 184465 (AMPIO PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,napo pharmaceuticals inc
"Ribon Therapeutics, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 31656 (REIN THERAPEUTICS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,ribon therapeutics inc
Bugworks Research Inc.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,bugworks research inc
"Formosa Pharmaceuticals, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 28470 (RA PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,formosa pharmaceuticals inc
Neosense Technologies,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 65692 (SENSE TECHNOLOGIES INC) flagged unreliable; no manual rescue available -- left UNMAPPED,neosense technologies
"UC Care, Ltd.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 11007 (UC CORP) flagged unreliable; no manual rescue available -- left UNMAPPED,uc care ltd
Abilion Medical Systems AB,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 25013 (PLC SYSTEMS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,abilion medical systems ab
Revenio Research,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,revenio research
"Faraday Pharmaceuticals, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 28470 (RA PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,faraday pharmaceuticals inc
MedVadis Research Corporation,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,medvadis research corporation
Arisaph Pharmaceuticals Inc,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 28470 (RA PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,arisaph pharmaceuticals inc
SecondWave Systems Inc.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 25013 (PLC SYSTEMS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,secondwave systems inc
Aptitude Medical Systems,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 25013 (PLC SYSTEMS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,aptitude medical systems
"Center for Biomedical Research, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,center for biomedical research inc
"ACEA Therapeutics, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 32046 (AKCEA THERAPEUTICS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,acea therapeutics inc
"Ankyra Therapeutics, Inc",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 28209 (ANIKA THERAPEUTICS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,ankyra therapeutics inc
Vertero Therapeutics,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 27699 (ENTERO THERAPEUTICS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,vertero therapeutics
